symbol,timestamp,date,time,hour,day_of_week,open,high,low,close,volume,cumulative_volume,price_return,intraday_volatility,price_trend,time_of_day,is_cpi_day,is_nfp_day,is_month_end,macro_event_day,vwap,vwap_deviation
SPY,2025-01-28 15:40:00,2025-01-28,15:40:00,15.666666666666666,1,602.405,602.55,602.1,602.42,261560.0,10347537.0,3.32005312084771e-05,0.0006218673277405395,1.419999999999959,15.666666666666666,0,0,0,0,600.2562013127568,2.1637986872431156
SPY,2025-01-28 15:45:00,2025-01-28,15:45:00,15.75,1,602.36,602.68,601.78,602.6267,353317.0,10700854.0,0.0003431160984033177,0.000619014985960047,1.626700000000028,15.75,0,0,0,0,600.3344695972022,2.292230402797827
SPY,2025-01-28 15:50:00,2025-01-28,15:50:00,15.833333333333334,1,602.63,602.72,602.41,602.42,328451.0,11029305.0,-0.0003429984101269712,0.0006165104655371855,1.419999999999959,15.833333333333334,0,0,0,0,600.3965763705963,2.0234236294036236
SPY,2025-01-28 15:55:00,2025-01-28,15:55:00,15.916666666666666,1,602.42,603.09,602.41,603.06,388236.0,11417541.0,0.0010623817270343228,0.0006233542741354087,2.0599999999999454,15.916666666666666,0,0,0,0,600.4871420130744,2.5728579869255555
SPY,2025-01-28 16:00:00,2025-01-28,16:00:00,16.0,1,603.06,603.47,602.56,603.05,444730.0,11862271.0,-1.6582097967066112e-05,0.0006196098653601962,2.0499999999999545,16.0,0,0,0,0,600.5832264670989,2.4667735329010156
SPY,2025-01-28 16:05:00,2025-01-28,16:05:00,16.083333333333332,1,603.055,603.28,603.01,603.255,225966.0,12088237.0,0.0003399386452203057,0.000616822554246497,2.2549999999999955,16.083333333333332,0,0,0,0,600.6331700592154,2.6218299407845507
SPY,2025-01-28 16:10:00,2025-01-28,16:10:00,16.166666666666668,1,603.25,603.57,602.8599,602.98,290124.0,12378361.0,-0.00045586029125321836,0.0006154587781561194,1.9800000000000182,16.166666666666668,0,0,0,0,600.6881750546054,2.2918249453946373
SPY,2025-01-28 16:15:00,2025-01-28,16:15:00,16.25,1,603.02,603.24,602.62,602.67,343304.0,12721665.0,-0.0005141132375867663,0.0006146320062141743,1.669999999999959,16.25,0,0,0,0,600.7416561383357,1.9283438616643025
SPY,2025-01-28 16:20:00,2025-01-28,16:20:00,16.333333333333332,1,602.66,602.7827,601.97,602.02,525433.0,13247098.0,-0.0010785338576666526,0.0006222593722289355,1.0199999999999818,16.333333333333332,0,0,0,0,600.7923603793903,1.2276396206096933
SPY,2025-01-28 16:25:00,2025-01-28,16:25:00,16.416666666666668,1,602.04,602.105,601.03,601.42,2370662.0,15617760.0,-0.0009966446297465792,0.0006278476477460978,0.4199999999999591,16.416666666666668,0,0,0,0,600.8876314937033,0.5323685062966206
